id;title;objectif;docs;docs_content_type;tooth_id
1;gadzooks geez;upload after;../fake-data/blob/hipster.png;image/png;1
2;tomorrow;except;../fake-data/blob/hipster.png;image/png;2
3;deep arm before;even gee bah;../fake-data/blob/hipster.png;image/png;3
4;with gah of;citrus income black;../fake-data/blob/hipster.png;image/png;4
5;ick whoa;silently;../fake-data/blob/hipster.png;image/png;5
6;oof verge;loathsome;../fake-data/blob/hipster.png;image/png;6
7;surprisingly borrowing kindly;horst unfortunately;../fake-data/blob/hipster.png;image/png;7
8;transportation beside annually;knottily;../fake-data/blob/hipster.png;image/png;8
9;insulation amusing profess;fantastic daintily;../fake-data/blob/hipster.png;image/png;9
10;before genuine;negative aw;../fake-data/blob/hipster.png;image/png;10
