id;time;image_front;image_front_content_type;image_side;image_side_content_type;angle_left;angle_rigth;angle_center;date;student_id;pw_id
1;nightgown searchingly smart;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;7196.5;13017.59;20039.41;2023-12-25T17:22:33;1;1
2;spill;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;20240.77;235.56;32700.65;2023-12-25T20:02:31;2;2
3;beetle sweetly unless;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;19437.25;24835.98;14678.92;2023-12-26T06:56:44;1;3
4;masticate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;15468.97;12289.49;22622.72;2023-12-26T12:27:44;1;4
5;gracefully;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;8498.65;1026;24725.34;2023-12-26T09:07:22;2;5
6;warmly numb unless;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;10377.22;1953.8;21527.28;2023-12-26T13:27:13;2;6
7;unlike partake notice;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;18685.86;13171.04;3478.95;2023-12-25T17:11:07;2;7
8;onto more density;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;11094.71;12474.53;30260.68;2023-12-26T05:14:48;1;8
9;mod violently;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;941.42;8627.05;26692.37;2023-12-26T09:07:41;2;9
10;that for phooey;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;3223.08;408.54;13063.24;2023-12-26T16:26:12;2;10
